OrderID,CustomerID,Amount,Status
ORD-1001,CUST-774,3974.43,Pending
ORD-1002,CUST-771,2279.91,Completed
ORD-1003,CUST-671,4459.14,Cancelled
ORD-1004,CUST-898,2062.19,Completed
ORD-1005,CUST-581,3437.43,Error_404
ORD-1006,CUST-565,4689.06,Error_404
ORD-1007,CUST-939,4563.84,Completed
ORD-1008,CUST-914,4994.9,Pending
ORD-1009,CUST-949,918.14,Completed
ORD-1010,CUST-935,1157.63,Completed
ORD-1011,CUST-550,2219.58,Error_404
ORD-1012,CUST-621,881.42,Completed
ORD-1013,CUST-658,3352.71,Pending
ORD-1014,CUST-543,1795.72,Pending
ORD-1015,CUST-750,162.89,Error_404
ORD-1016,CUST-838,3781.02,Cancelled
ORD-1017,CUST-589,1807.61,Pending
ORD-1018,CUST-579,571.26,Error_404
ORD-1019,CUST-933,4748.32,Cancelled
ORD-1020,CUST-721,2581.46,Cancelled
ORD-1021,CUST-555,2386.18,Completed
ORD-1022,CUST-510,3486.83,Cancelled
ORD-1023,CUST-707,298.79,Error_404
ORD-1024,CUST-628,3234.66,Cancelled
ORD-1025,CUST-948,2079.45,Cancelled
ORD-1026,CUST-732,2168.1,Completed
ORD-1027,CUST-749,21.29,Cancelled
ORD-1028,CUST-602,3547.17,Completed
ORD-1029,CUST-942,4491.13,Error_404
ORD-1030,CUST-767,2129.9,Completed
ORD-1031,CUST-613,4529.12,Cancelled
ORD-1032,CUST-590,3730.5,Completed
ORD-1033,CUST-686,3076.65,Pending
ORD-1034,CUST-809,4822.33,Completed
ORD-1035,CUST-866,4995.58,Error_404
ORD-1036,CUST-873,3672.51,Error_404
ORD-1037,CUST-796,538.04,Completed
ORD-1038,CUST-842,3818.91,Pending
ORD-1039,CUST-827,3596.23,Completed
ORD-1040,CUST-813,28.0,Completed
ORD-1041,CUST-719,3583.74,Error_404
ORD-1042,CUST-656,2374.57,Error_404
ORD-1043,CUST-603,1173.97,Error_404
ORD-1044,CUST-743,4119.94,Error_404
ORD-1045,CUST-637,743.08,Cancelled
ORD-1046,CUST-959,1200.43,Completed
ORD-1047,CUST-627,2276.56,Pending
ORD-1048,CUST-908,1729.42,Error_404
ORD-1049,CUST-790,3456.08,Completed
ORD-1050,CUST-755,780.26,Pending
ORD-1051,CUST-541,164.45,Completed
ORD-1052,CUST-730,2940.91,Completed
ORD-1053,CUST-878,1026.44,Cancelled
ORD-1054,CUST-715,3765.06,Completed
ORD-1055,CUST-877,1535.04,Completed
ORD-1056,CUST-989,4820.03,Error_404
ORD-1057,CUST-995,2328.5,Error_404
ORD-1058,CUST-896,1288.33,Error_404
ORD-1059,CUST-663,3333.65,Pending
ORD-1060,CUST-990,4001.67,Cancelled
ORD-1061,CUST-888,3172.17,Completed
ORD-1062,CUST-970,4268.22,Cancelled
ORD-1063,CUST-897,2430.86,Completed
ORD-1064,CUST-800,4840.49,Pending
ORD-1065,CUST-958,243.21,Error_404
ORD-1066,CUST-829,411.38,Cancelled
ORD-1067,CUST-998,316.91,Cancelled
ORD-1068,CUST-622,4848.0,Cancelled
ORD-1069,CUST-872,256.56,Error_404
ORD-1070,CUST-788,4491.44,Pending
ORD-1071,CUST-536,210.4,Pending
ORD-1072,CUST-623,3443.6,Error_404
ORD-1073,CUST-991,2016.01,Cancelled
ORD-1074,CUST-965,156.08,Pending
ORD-1075,CUST-886,73.45,Cancelled
ORD-1076,CUST-768,4178.6,Completed
ORD-1077,CUST-636,2844.1,Error_404
ORD-1078,CUST-721,361.91,Completed
ORD-1079,CUST-787,1960.46,Error_404
ORD-1080,CUST-689,746.7,Pending
ORD-1081,CUST-695,4441.94,Error_404
ORD-1082,CUST-534,3165.05,Cancelled
